transaction_id,date,type,amount,description,counterparty,status
txn_vGXWVQCc,2026-01-02,fee,-223.74,Transaction fee - 2% of amount,HDFC Bank Ltd,settled
txn_xNLPuvqI,2026-01-03,payout,-156269.49,Payout to merchant bank account,Paytm Payments Bank,settled
txn_qZ0eFBvS,2026-01-03,refund,-17739.79,Refund to original payment method #7290,CC Avenue Payment Gateway,settled
txn_YDX9Qwca,2026-01-04,tax,-2453.92,GST collected on platform fees,Kotak Mahindra Bank,settled
txn_rH1e2jdb,2026-01-04,fee,-779.49,Transaction fee - 2% of amount,Zomato Ltd,settled
txn_vtUChyKw,2026-01-05,payment,33022.4,Customer payment - Invoice #6649,MakeMyTrip India Pvt Ltd,settled
txn_PkgYTVUK,2026-01-06,tax,-486.24,GST collected on platform fees,ICICI Bank Limited,pending
txn_XB50oxIR,2026-01-07,refund,-8328.65,Reversal for duplicate charge #9224,ICICI Bank Limited,failed
txn_Gn2br4Cx,2026-01-10,payout,-150619.44,Instant payout to HDFC Bank ****4521,MakeMyTrip India Pvt Ltd,settled
txn_J51i4taT,2026-01-12,chargeback,-11899.76,Chargeback received - Case #5006,Zomato Ltd,settled
txn_1DfRytTl,2026-01-13,payment,10660.12,Payment received for order #7590,State Bank of India,settled
txn_JXud0Srx,2026-01-13,tax,-1627.74,TDS certificate generated - Form 16A,Stripe India Pvt Ltd,settled
txn_nQtiaAE2,2026-01-14,payment,309.02,EMI payment received - Ref #5533,Zomato Ltd,pending
txn_OH3PkmZk,2026-01-15,tax,-2995.42,TDS deducted at source - 2%,Swiggy Instamart,settled
txn_UEbXhzDX,2026-01-15,payout,-80741.71,Bulk payout processed - Ref #9683,Ola Cabs Private Limited,settled
txn_EOpNI6jd,2026-01-19,fee,-724.53,MDR charges for UPI transaction,Swiggy Instamart,pending
txn_WJzrl9oA,2026-01-19,payout,-176768.51,Weekly settlement - Ref #3170,ICICI Bank Limited,pending
txn_HzikvIf1,2026-01-19,payment,21042.62,Payment for subscription renewal #2215,State Bank of India,settled
txn_lTst18IW,2026-01-19,fee,-388.43,Transaction fee - 2% of amount,Kotak Mahindra Bank,settled
txn_C9lvc2js,2026-01-24,fee,-645.64,Settlement fee applied,MakeMyTrip India Pvt Ltd,settled
txn_I4UZMw2W,2026-01-25,chargeback,-1027.44,Chargeback received - Case #6061,State Bank of India,settled
txn_Q6olKtKX,2026-01-26,payment,16752.62,Wallet payment processed - Ref #6977,Urban Company India Pvt Ltd,settled
txn_IRFillwq,2026-01-26,payment,43351.7,Customer payment - Invoice #7291,ICICI Bank Limited,settled
txn_aWfV0yG7,2026-01-27,fee,-626.54,Gateway convenience fee #2983,PayU India Pvt Ltd,settled
txn_XSYF348j,2026-01-27,payment,26972.26,Payment for subscription renewal #2524,RazorpayX Banking Partner,settled
txn_c2Ey1Goh,2026-01-28,payment,6437.18,Credit card payment processed - Ref #9786,State Bank of India,settled
txn_XjPrA5hs,2026-01-28,payout,-123210.73,Payout to ICICI Bank ****7832,Kotak Mahindra Bank,settled
